,budget,revenue
401,1000000,0
402,1000000,0
403,1000000,0
404,1000000,0
405,1000000,0
406,1000000,0
407,1000000,0
408,1000000,0
409,1000000,0
410,1000000,0
411,1000000,0
412,1000000,0
413,1000000,0
414,1000000,0
415,1000000,0
416,1000000,0
417,1000000,0
418,1000000,0
419,1000000,0
420,1000000,0
421,1000000,0
422,1000000,0
423,1000000,0
424,1000000,0
425,1000000,0
426,1000000,0
427,1000000,0
428,1000000,0
429,1000000,0
430,1000000,0
431,1000000,0
432,1000000,0
433,1000000,0
434,1000000,0
435,1000000,0
436,1000000,0
437,1030064,0
438,1052753,0
439,1065000,0
440,1100000,0
441,1100000,0
442,1100000,0
443,1100000,0
444,1100000,0
445,1100000,0
446,1100000,0
447,1100000,0
448,1100000,0
449,1100000,0
450,1104000,0
451,1150000,0
452,1200000,0
453,1200000,0
454,1200000,0
455,1200000,0
456,1200000,0
457,1200000,0
458,1200000,0
459,1200000,0
460,1200000,0
461,1200000,0
462,1200000,0
463,1200000,0
464,1200000,0
465,1200000,0
466,1200000,0
467,1250000,0
468,1250000,0
469,1250000,0
470,1250000,0
471,1250000,0
472,1300000,0
473,1300000,0
474,1300000,0
475,1300000,0
476,1300000,0
477,1300000,0
478,1300000,0
479,1300000,0
480,1340000,0
481,1350000,0
482,1355000,0
483,1377800,0
484,1400000,0
485,1400000,0
486,1400000,0
487,1400000,0
488,1500000,0
489,1500000,0
490,1500000,0
491,1500000,0
492,1500000,0
493,1500000,0
494,1500000,0
495,1500000,0
496,1500000,0
497,1500000,0
498,1500000,0
499,1500000,0
500,1500000,0
501,1500000,0
502,1500000,0
503,1500000,0
504,1500000,0
505,1500000,0
506,1500000,0
507,1500000,0
508,1500000,0
509,1500000,0
510,1500000,0
511,1500000,0
512,1500000,0
513,1500000,0
514,1500000,0
515,1500000,0
516,1500000,0
517,1500000,0
518,1500000,0
519,1500000,0
520,1500000,0
521,1500000,0
522,1500000,0
523,1500000,0
524,1500000,0
525,1500000,0
526,1500000,0
527,1500000,0
528,1500000,0
